model,power,prop_na,sample_size,cutpoints,beta_t,beta_tx,beta_t_tx,rand_intercept_sd,rand_slope_sd,n_sim,datetime
ppo_21,0.244,0,500,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-31T12:24:54Z
ppo_28,0.338,0,500,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-31T12:24:54Z
cox_prop_state1,0.308,0,500,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-31T12:24:54Z
cox_spline2_state1,0.23,0,500,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-31T12:24:54Z
cox_prop_state12,0.116,0,500,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-31T12:24:54Z
cox_spline2_state12,0.078,0,500,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-31T12:24:54Z
cox_prop_state123,0.072,0,500,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-31T12:24:54Z
cox_spline2_state123,0.08,0,500,NA,-0.2,0,-0.01,1e-5,1e-5,500,2024-10-31T12:24:54Z
otm,0.992,0,100,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-29T20:54:31Z
otm_rand_int,0.99,0,100,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-29T20:54:31Z
rand_int,0.99,0,100,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-29T20:54:31Z
free_days8,0.088,0,100,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-29T20:54:31Z
free_days78,0.142,0,100,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-29T20:54:31Z
free_days678,0.27,0,100,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-29T20:54:31Z
free_days5678,0.478,0,100,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-29T20:54:31Z
free_days45678,0.866,0,100,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-29T20:54:31Z
free_days345678,0.934,0,100,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-29T20:54:31Z
free_days2345678,0.958,0,100,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-29T20:54:31Z
ppo_3,0.104,0,100,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-29T20:54:31Z
ppo_7,0.11,0,100,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-29T20:54:31Z
ppo_14,0.146,0,100,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-29T20:54:31Z
ppo_21,0.194,0,100,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-29T20:54:31Z
ppo_28,0.196,0,100,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-29T20:54:31Z
cox_prop_state1,0.304,0,100,NA,-0.2,-0.2,-0.01,1e-5,1e-5,500,2024-10-29T20:54:31Z
